,OTU,ACAEN,ACRBR,ACRTA,ASTEN,CYPEN,DISEN,DISMA,FAEEN,FAEMA,GALEN,GONEN,GONMA,GONPM,HYDBR,HYDEN,ISOBR,LETEN,LITEN,MEREN,MONEN,MONFO,PACEN,PLAEN,PLAMA,POCBR,PORBR,POREN,PORMA,SCLEN,SYMMA,TURCO,HELCO,LOB,SAR,SF,SIN,MILBR,SEAAN
Survey,Major_Category,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Scleractinian,Octocoral,Octocoral,Octocoral,Octocoral,Octocoral,Hydrozoaire,Sea Anemone
CFB_201508,"Chufengbi (120.8973, 22.09112)",x,x,x,x,x,0.0 (nan),x,0.0 (0.0),x,0.0 (nan),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0 (0.0),x,x,0.0 (0.0),x,x,x,x,x,x
CFB_2016april,"Chufengbi (120.8973, 22.09112)",x,x,x,x,x,0.0 (0.0),0.0 (nan),0.0 (0.0),x,x,x,x,x,x,x,x,x,x,x,0.0 (nan),x,x,x,x,x,x,0.0 (nan),x,0.0 (0.0),x,x,0.0 (0.0),x,x,0.0 (nan),0.0 (nan),x,x
CFB_2016oct,"Chufengbi (120.8973, 22.09112)",x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
CFB_2016sept,"Chufengbi (120.8973, 22.09112)",x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
CFB_2017,"Chufengbi (120.8973, 22.09112)",x,x,x,0.0 (nan),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0.0 (0.0),x,x,0.0 (0.0),x,0.0 (0.0),x,0.0 (nan),x,x
JLS_201508,"Jialeshui (120.8636, 21.99232)",x,0.0 (0.0),x,12.5 (17.68),0.0 (0.0),7.33 (16.4),0.0 (nan),0.0 (0.0),x,0.0 (nan),x,x,x,x,0.0 (0.0),x,x,x,0.0 (0.0),0.0 (0.0),0.0 (nan),0.0 (nan),0.0 (0.0),0.0 (0.0),0.0 (0.0),x,0.0 (0.0),0.0 (0.0),0.0 (0.0),x,x,0.0 (0.0),x,0.0 (nan),0.0 (0.0),0.0 (0.0),0.0 (0.0),x
JLS_2016april,"Jialeshui (120.8636, 21.99232)",0.0 (nan),0.0 (0.0),x,0.0 (nan),0.0 (0.0),0.0 (0.0),x,0.0 (0.0),x,0.0 (nan),x,x,x,x,0.0 (nan),x,0.0 (0.0),x,x,0.0 (0.0),x,x,0.0 (0.0),x,0.0 (0.0),x,0.0 (0.0),x,0.0 (0.0),0.0 (nan),x,0.0 (0.0),20.0 (34.64),0.0 (0.0),0.0 (0.0),1.33 (2.98),0.0 (0.0),x
JLS_2016oct,"Jialeshui (120.8636, 21.99232)",x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
JLS_2016sept,"Jialeshui (120.8636, 21.99232)",x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
JLS_2017,"Jialeshui (120.8636, 21.99232)",x,0.0 (nan),x,0.0 (nan),0.0 (0.0),0.0 (0.0),x,0.0 (0.0),x,x,x,x,x,x,x,x,x,x,x,0.0 (nan),x,0.0 (nan),0.0 (0.0),0.0 (nan),x,x,0.0 (0.0),0.0 (nan),0.0 (0.0),x,x,0.0 (0.0),x,0.0 (nan),0.0 (0.0),0.0 (0.0),0.0 (nan),x
LK_201508,"Longken (120.8619, 21.91283)",0.0 (nan),0.0 (nan),x,0.0 (nan),0.0 (nan),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (nan),x,x,x,x,x,0.0 (0.0),x,0.0 (0.0),x,x,0.0 (0.0),x,x,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (0.0),x,x,0.0 (0.0),0.0 (nan),0.0 (0.0),0.0 (nan),18.33 (29.11),x,x
LK_2016april,"Longken (120.8619, 21.91283)",0.0 (0.0),x,x,0.0 (0.0),0.0 (0.0),0.0 (0.0),x,0.0 (0.0),x,x,0.0 (0.0),x,x,x,0.0 (0.0),x,0.0 (0.0),x,x,0.0 (0.0),x,x,0.0 (0.0),0.0 (nan),0.0 (0.0),x,0.0 (0.0),x,0.0 (0.0),0.0 (nan),x,0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (nan),0.0 (0.0),0.0 (nan),x
LK_2016oct,"Longken (120.8619, 21.91283)",x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
LK_2016sept,"Longken (120.8619, 21.91283)",x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
LK_2017,"Longken (120.8619, 21.91283)",0.0 (0.0),x,0.0 (nan),0.0 (0.0),0.0 (nan),0.0 (0.0),0.0 (0.0),0.0 (0.0),0.0 (nan),0.0 (0.0),x,0.0 (nan),0.0 (nan),x,0.0 (0.0),x,0.0 (0.0),x,x,0.0 (nan),0.0 (nan),0.0 (0.0),0.0 (0.0),0.0 (nan),0.0 (0.0),0.0 (nan),0.0 (0.0),0.0 (nan),0.0 (0.0),0.0 (0.0),x,0.0 (0.0),0.0 (0.0),0.0 (nan),0.0 (nan),0.0 (0.0),x,x
